wave,lumi
508.942,-68.37
509.15,-66.43
509.357,41.92
509.564,38.05
509.772,-18.06
509.979,-8.38
510.187,-2.58
510.394,1.29
510.601,10.96
510.809,5.16
511.016,41.92
511.224,-18.06
511.431,-47.08
511.638,-21.93
511.845,-45.15
512.053,1.29
512.26,1.29
512.467,57.4
512.674,-12.25
512.882,14.83
513.089,-62.56
513.296,38.05
513.503,28.38
513.71,132.87
513.917,-35.47
514.124,57.4
514.332,127.06
514.539,16.77
514.746,38.05
514.953,-6.45
515.16,78.69
515.367,28.38
515.574,61.27
515.781,-58.69
515.988,45.79
516.195,7.09
516.402,32.25
516.609,34.18
516.815,-41.28
517.022,84.49
517.229,-54.82
517.436,26.44
517.643,47.73
517.85,-21.93
518.057,22.57
518.263,-12.25
518.47,-37.41
518.677,10.96
518.884,22.57
519.09,-16.12
519.297,-21.93
519.504,-23.86
519.711,-2.58
519.917,22.57
520.124,-12.25
520.33,30.31
520.537,-0.64
520.744,-33.54
520.95,-8.38
521.157,86.43
521.363,45.79
521.57,-27.73
521.777,-29.67
521.983,41.92
522.19,34.18
522.396,34.18
522.602,16.77
522.809,-31.6
523.015,20.64
523.222,-29.67
523.428,-21.93
523.635,-105.13
523.841,-8.38
524.047,12.9
524.254,30.31
524.46,72.88
524.666,-6.45
524.873,-16.12
525.079,-2.58
525.285,72.88
525.491,28.38
525.698,26.44
525.904,-39.34
526.11,-76.11
526.316,-56.76
526.522,-14.19
526.729,12.9
526.935,45.79
527.141,-16.12
527.347,-122.55
527.553,72.88
527.759,-41.28
527.965,57.4
528.171,-12.25
528.377,3.22
528.583,-21.93
528.789,55.47
528.995,47.73
529.201,16.77
529.407,-10.32
529.613,10.96
529.819,53.53
530.025,76.75
530.231,-19.99
530.437,94.17
530.642,70.95
530.848,-27.73
531.054,3.22
531.26,24.51
531.466,-54.82
531.671,-27.73
531.877,47.73
532.083,-14.19
532.289,53.53
532.494,-54.82
532.7,5.16
532.906,-89.65
533.111,45.79
533.317,30.31
533.523,-54.82
533.728,-79.98
533.934,78.69
534.14,30.31
534.345,57.4
534.551,30.31
534.756,28.38
534.962,127.06
535.167,18.7
535.373,-79.98
535.578,-0.64
535.784,12.9
535.989,-60.63
536.195,-87.72
536.4,43.86
536.605,18.7
536.811,-6.45
537.016,26.44
537.221,55.47
537.427,39.99
537.632,67.08
537.837,7.09
538.043,16.77
538.248,22.57
538.453,18.7
538.658,36.12
538.864,-4.51
539.069,57.4
539.274,61.27
539.479,59.34
539.684,1.29
539.89,20.64
540.095,86.43
540.3,-50.95
540.505,63.21
540.71,99.97
540.915,82.56
541.12,7.09
541.325,39.99
541.53,80.62
541.735,84.49
541.94,74.82
542.145,-12.25
542.35,34.18
542.555,59.34
542.76,-109
542.965,-21.93
543.17,117.39
543.375,-29.67
543.58,51.6
543.784,-16.12
543.989,-12.25
544.194,-47.08
544.399,45.79
544.604,39.99
544.808,45.79
545.013,32.25
545.218,134.8
545.423,41.92
545.627,26.44
545.832,88.36
546.037,-12.25
546.241,36.12
546.446,-21.93
546.651,51.6
546.855,1.29
547.06,51.6
547.264,55.47
547.469,38.05
547.673,9.03
547.878,18.7
548.082,1.29
548.287,-12.25
548.491,-8.38
548.696,45.79
548.9,36.12
549.105,61.27
549.309,59.34
549.514,65.14
549.718,61.27
549.922,-21.93
550.127,-23.86
550.331,98.04
550.535,-18.06
550.74,41.92
550.944,7.09
551.148,34.18
551.353,109.65
551.557,70.95
551.761,70.95
551.965,26.44
552.169,1.29
552.374,-8.38
552.578,-27.73
552.782,107.71
552.986,86.43
553.19,119.32
553.394,18.7
553.598,12.9
553.802,-8.38
554.007,-4.51
554.211,82.56
554.415,39.99
554.619,-52.89
554.823,-0.64
555.027,70.95
555.231,78.69
555.434,45.79
555.638,65.14
555.842,-8.38
556.046,18.7
556.25,76.75
556.454,84.49
556.658,105.78
556.862,41.92
557.065,74.82
557.269,26.44
557.473,-4.51
557.677,36.12
557.881,101.91
558.084,24.51
558.288,47.73
558.492,121.26
558.695,98.04
558.899,65.14
559.103,38.05
559.306,14.83
559.51,51.6
559.714,175.44
559.917,12.9
560.121,84.49
560.324,65.14
560.528,125.13
560.732,55.47
560.935,90.3
561.139,111.58
561.342,70.95
561.546,92.23
561.749,80.62
561.952,74.82
562.156,98.04
562.359,69.01
562.563,138.67
562.766,101.91
562.969,39.99
563.173,63.21
563.376,45.79
563.579,138.67
563.783,115.45
563.986,103.84
564.189,154.15
564.392,61.27
564.596,138.67
564.799,127.06
565.002,55.47
565.205,119.32
565.408,150.28
565.612,107.71
565.815,152.22
566.018,138.67
566.221,152.22
566.424,55.47
566.627,239.29
566.83,94.17
567.033,185.11
567.236,70.95
567.439,80.62
567.642,134.8
567.845,127.06
568.048,173.5
568.251,103.84
568.454,194.79
568.657,167.7
568.86,82.56
569.063,148.35
569.266,163.83
569.469,274.12
569.671,194.79
569.874,136.74
570.077,103.84
570.28,181.24
570.483,125.13
570.685,138.67
570.888,109.65
571.091,152.22
571.294,179.31
571.496,188.98
571.699,243.16
571.902,192.85
572.104,287.66
572.307,146.41
572.509,206.4
572.712,345.71
572.915,270.25
573.117,219.94
573.32,212.2
573.522,283.79
573.725,233.48
573.927,266.38
574.13,299.27
574.332,334.1
574.535,206.4
574.737,247.03
574.94,318.62
575.142,287.66
575.344,223.81
575.547,272.18
575.749,328.3
575.952,332.17
576.154,367
576.356,359.26
576.558,432.78
576.761,380.54
576.963,332.17
577.165,388.28
577.368,353.45
577.57,421.18
577.772,405.7
577.974,316.69
578.176,417.31
578.378,508.25
578.581,423.11
578.783,469.55
578.985,452.13
579.187,525.66
579.389,515.99
579.591,457.94
579.793,446.33
579.995,523.73
580.197,502.44
580.399,539.21
580.601,556.62
580.803,608.87
581.005,477.29
581.207,541.14
581.409,628.22
581.611,537.27
581.813,651.43
582.015,628.22
582.216,680.46
582.418,479.22
582.62,620.48
582.822,645.63
583.024,711.42
583.225,680.46
583.427,715.29
583.629,657.24
583.831,755.92
584.032,788.82
584.234,711.42
584.436,949.42
584.637,769.47
584.839,864.28
585.041,703.68
585.242,920.39
585.444,926.2
585.646,941.68
585.847,906.85
586.049,947.48
586.25,854.61
586.452,1104.21
586.653,953.29
586.855,1071.32
587.056,1088.73
587.258,1092.6
587.459,1104.21
587.66,1202.9
587.862,1026.82
588.063,1111.95
588.265,1206.77
588.466,1247.4
588.667,1282.23
588.869,1243.53
589.07,1200.96
589.271,1291.91
589.473,1353.82
589.674,1487.34
589.875,1336.41
590.076,1539.58
590.278,1620.85
590.479,1628.59
590.68,1628.59
590.881,1688.57
591.082,1547.32
591.283,1630.52
591.485,1707.92
591.686,1793.06
591.887,1783.38
592.088,1876.26
592.289,1905.29
592.49,1909.16
592.691,1882.07
592.892,2044.6
593.093,2125.87
593.294,2089.11
593.495,2149.09
593.696,2220.68
593.897,2259.38
594.098,2419.98
594.299,2360
594.499,2481.9
594.7,2360
594.901,2588.33
595.102,2570.91
595.303,2576.72
595.504,2748.93
595.704,2774.08
595.905,2818.58
596.106,2886.31
596.307,2882.44
596.507,2959.84
596.708,3035.3
596.909,3068.19
597.109,3087.54
597.31,3248.14
597.511,3263.62
597.711,3555.8
597.912,3298.45
598.113,3613.85
598.313,3604.18
598.514,3720.27
598.714,3766.71
598.915,3907.96
599.115,3915.7
599.316,4095.66
599.516,4072.44
599.717,4130.48
599.917,4248.52
600.118,4186.6
600.318,4314.31
600.519,4414.92
600.719,4525.22
600.919,4627.77
601.12,4693.56
601.32,4904.47
601.52,4877.38
601.721,5101.83
601.921,5041.85
602.121,5264.37
602.321,5287.59
602.522,5339.83
602.722,5684.25
602.922,5612.66
603.122,5951.28
603.323,5881.62
603.523,5827.44
603.723,6216.37
603.923,6241.52
604.123,6229.91
604.323,6442.76
